plugin_name,plugin_type,auto_update,update_source,server_GEYSER,server_VEL01,server_SMP201,server_HUB01,server_EMAD01,server_SMPC01,server_NEOC01,server_BENT01,server_CLIP01,server_CSMC01,server_HC01,server_MINE01,server_EVO01,server_TOWER01,server_DEV01,server_MINI01,server_BIGG01,server_FORT01,server_PRIV01,server_CRAF01
"1p death, all death",bukkit/paper,False,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Addon-Discount,bukkit/paper,True,jenkins,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Addon-DisplayControl,bukkit/paper,True,jenkins,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Addon-Limited,bukkit/paper,True,jenkins,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Addon-List,bukkit/paper,True,jenkins,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Addon-List,bukkit/paper,False,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Addon-List,bukkit/paper,False,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Addon-Plan,bukkit/paper,True,jenkins,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Addon-ShopItemOnly,bukkit/paper,True,jenkins,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Axiom,bukkit/paper,False,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BentoBox,bukkit/paper,False,manual,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
BetterForms,bukkit/paper,False,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BetterStructures,bukkit/paper,True,modrinth,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Block Party,bukkit/paper,False,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CMI,bukkit/paper,True,spigot,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CMI Velocity,velocity,False,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CMILib,bukkit/paper,False,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ChatGames,bukkit/paper,False,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chunky,bukkit/paper,True,jenkins,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ChunkyBorder,bukkit/paper,True,jenkins,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Citizens,bukkit/paper,False,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CombatPets,bukkit/paper,False,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CommunityQuests,bukkit/paper,False,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Compat-EliteMobs,bukkit/paper,True,jenkins,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Compat-WorldEdit,bukkit/paper,True,jenkins,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Compat-WorldGuard,bukkit/paper,True,jenkins,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CoreProtect,bukkit/paper,False,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
